Año,Trimestre,Provincia,Accesos por cada 100 hogares,Latitud,Longitud
2023,3,Tierra Del Fuego,"105,95","-54,8019","-68,3029"
2023,3,Tucumán,"61,26","-26,8241","-65,2226"
2023,2,Buenos Aires,"79,67","-36,6769","-60,5588"
2023,2,Capital Federal,"115,48","-34,6037","-58,3816"
2023,2,Catamarca,"67,42","-28,4696","-65,7795"
2023,2,Chaco,"42,87","-27,4515","-58,9864"
2023,2,Chubut,"82,49","-43,3002","-65,1023"
2023,2,Córdoba,"90,13","-31,4201","-64,1888"
2023,2,Corrientes,"52,37","-27,4806","-58,8341"
2023,2,Entre Ríos,"64,43","-32,0718","-60,5238"
2023,2,Formosa,"38,32","-26,1728","-58,1825"
2023,2,Jujuy,"57,78","-24,1945","-65,2971"
2023,2,La Pampa,"98,35","-37,7429","-64,2856"
2023,2,La Rioja,"80,01","-29,4135","-66,8565"
2023,2,Mendoza,"52,09","-34,5890","-68,3480"
2023,2,Misiones,"55,18","-27,3644","-55,9000"
2023,2,Neuquén,"78,97","-38,9516","-68,0591"
2023,2,Río Negro,"68,56","-40,8135","-67,9665"
2023,2,Salta,"57,48","-24,7821","-65,4232"
2023,2,San Juan,"47,52","-31,5275","-68,5386"
2023,2,San Luis,"93,41","-33,3018","-66,3378"
2023,2,Santa Cruz,"41,66","-48,7834","-69,9335"
2023,2,Santa Fe,"78,83","-31,6333","-60,7000"
2023,2,Santiago Del Estero,"47,14","-27,7834","-64,2642"
2023,2,Tierra Del Fuego,"106,38","-54,8019","-68,3029"
2023,2,Tucumán,"60,75","-26,8241","-65,2226"
2023,1,Buenos Aires,"79,00","-36,6769","-60,5588"
2023,1,Capital Federal,"122,59","-34,6037","-58,3816"
2023,1,Catamarca,"66,17","-28,4696","-65,7795"
2023,1,Chaco,"43,15","-27,4515","-58,9864"
2023,1,Chubut,"85,89","-43,3002","-65,1023"
2023,1,Córdoba,"88,84","-31,4201","-64,1888"
2023,1,Corrientes,"52,05","-27,4806","-58,8341"
2023,1,Entre Ríos,"64,79","-32,0718","-60,5238"
2023,1,Formosa,"38,79","-26,1728","-58,1825"
2023,1,Jujuy,"58,20","-24,1945","-65,2971"
2023,1,La Pampa,"96,55","-37,7429","-64,2856"
2023,1,La Rioja,"79,74","-29,4135","-66,8565"
2023,1,Mendoza,"51,40","-34,5890","-68,3480"
2023,1,Misiones,"53,97","-27,3644","-55,9000"
2023,1,Neuquén,"78,55","-38,9516","-68,0591"
2023,1,Río Negro,"69,16","-40,8135","-67,9665"
2023,1,Salta,"57,67","-24,7821","-65,4232"
2023,1,San Juan,"49,75","-31,5275","-68,5386"
2023,1,San Luis,"90,17","-33,3018","-66,3378"
2023,1,Santa Cruz,"43,42","-48,7834","-69,9335"
2023,1,Santa Fe,"78,13","-31,6333","-60,7000"
2023,1,Santiago Del Estero,"47,55","-27,7834","-64,2642"
2023,1,Tierra Del Fuego,"104,23","-54,8019","-68,3029"
2023,1,Tucumán,"60,34","-26,8241","-65,2226"
2022,4,Buenos Aires,"78,94","-36,6769","-60,5588"
2022,4,Capital Federal,"122,73","-34,6037","-58,3816"
2022,4,Catamarca,"65,77","-28,4696","-65,7795"
2022,4,Chaco,"43,62","-27,4515","-58,9864"
2022,4,Chubut,"85,57","-43,3002","-65,1023"
2022,4,Córdoba,"89,03","-31,4201","-64,1888"
2022,4,Corrientes,"51,64","-27,4806","-58,8341"
2022,4,Entre Ríos,"64,01","-32,0718","-60,5238"
2022,4,Formosa,"39,41","-26,1728","-58,1825"
2022,4,Jujuy,"58,46","-24,1945","-65,2971"
2022,4,La Pampa,"94,80","-37,7429","-64,2856"
2022,4,La Rioja,"79,86","-29,4135","-66,8565"
2022,4,Mendoza,"51,36","-34,5890","-68,3480"
