Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra optica,Wireless,Otros,Total,ADSL meta,Cablemodem meta,Fibra optica meta,Wireless meta,Otros meta,Total meta,Tecnologia Predominante
2024,2,Capital Federal,54102,1144781,230402,4493,29821,1463599,71510,1201024,207831,4582,49856,1534805,Cablemodem
2014,1,Catamarca,24126,46,17,0,43,24232,0,0,0,0,0,0,ADSL
2014,2,Catamarca,24380,243,17,0,43,24683,24608,46,17,0,43,24716,ADSL
2014,3,Catamarca,24380,244,15,0,47,24686,24867,247,17,0,43,25176,ADSL
2014,4,Catamarca,25192,241,16,0,44,25493,24867,248,15,0,47,25179,ADSL
2015,1,Catamarca,25033,241,16,1,41,25332,25695,245,16,0,44,26002,ADSL
2015,2,Catamarca,25387,242,15,1,34,25679,25533,245,16,1,41,25838,ADSL
2015,3,Catamarca,25801,242,15,1,34,26093,25894,246,15,1,34,26192,ADSL
2015,4,Catamarca,26180,242,15,1,34,26472,26317,246,15,1,34,26614,ADSL
2016,1,Catamarca,26096,243,15,1,34,26389,26703,246,15,1,34,27001,ADSL
2016,2,Catamarca,26262,245,14,1,34,26556,26617,247,15,1,34,26916,ADSL
2016,3,Catamarca,26689,248,14,1,18,26970,26787,249,14,1,34,27087,ADSL
2016,4,Catamarca,26735,250,14,1,34,27034,27222,252,14,1,18,27509,ADSL
2017,1,Catamarca,26020,248,14,1,34,26317,27269,255,14,1,34,27574,ADSL
2017,2,Catamarca,26401,255,14,1,34,26705,26540,252,14,1,34,26843,ADSL
2017,3,Catamarca,26873,4411,12,1,2181,33478,26929,260,14,1,34,27239,ADSL
2017,4,Catamarca,27083,263,11,1,2200,29558,27410,4499,12,1,2224,34147,ADSL
2018,1,Catamarca,27300,4415,15,1,2214,33945,27624,268,11,1,2244,30149,ADSL
2018,2,Catamarca,27444,4415,15,1,2214,34089,27846,4503,15,1,2258,34623,ADSL
2018,3,Catamarca,27553,4443,15,1,2214,34226,27992,4503,15,1,2258,34770,ADSL
2018,4,Catamarca,26912,4443,16,0,2212,33583,28104,4531,15,1,2258,34910,ADSL
2019,1,Catamarca,26912,4443,16,0,2251,33622,27450,4531,16,0,2256,34254,ADSL
2019,2,Catamarca,25682,5543,13,146,2251,33635,27450,4531,16,0,2296,34294,ADSL
2019,3,Catamarca,24349,5543,13,244,2251,32400,26195,5653,13,148,2296,34307,ADSL
2019,4,Catamarca,22999,3318,9506,261,2227,38311,24835,5653,13,248,2296,33048,ADSL
2020,1,Catamarca,21945,3146,12056,261,2227,39635,23458,3384,9696,266,2271,39077,ADSL
2020,2,Catamarca,26968,3641,14878,261,2228,47976,22383,3208,12297,266,2271,40427,ADSL
2020,3,Catamarca,26868,3690,16857,261,2228,49904,27507,3713,15175,266,2272,48935,ADSL
2020,4,Catamarca,26870,5115,17856,322,2233,52396,27405,3763,17194,266,2272,50902,ADSL
2021,1,Catamarca,26316,4409,18688,322,2233,51968,27407,5217,18213,328,2277,53443,ADSL
2021,2,Catamarca,20305,9426,22331,1449,2233,55744,26842,4497,19061,328,2277,53007,Fibra optica
2021,3,Catamarca,18413,11709,22331,1568,2233,56254,20711,9614,22777,1477,2277,56858,Fibra optica
2021,4,Catamarca,16385,13858,25100,1512,2235,59090,18781,11943,22777,1599,2277,57379,Fibra optica
2022,1,Catamarca,14181,15517,29118,1328,2234,62378,16712,14135,25602,1542,2279,60271,Fibra optica
2022,2,Catamarca,11928,9430,42087,1329,2234,67008,14464,15827,29700,1354,2278,63625,Fibra optica
2022,3,Catamarca,10010,10495,46224,1329,2235,70293,12166,9618,42928,1355,2278,68348,Fibra optica
2022,4,Catamarca,8952,10998,47337,1379,2243,70909,10210,10704,47148,1355,2279,71698,Fibra optica
2023,1,Catamarca,6980,10655,50230,1384,2243,71492,9131,11217,48283,1406,2287,72327,Fibra optica
2023,2,Catamarca,7637,10700,53177,1384,92,72990,7119,10868,51234,1411,2287,72921,Fibra optica
2023,3,Catamarca,7164,11066,54650,1384,91,74355,7789,10914,54240,1411,93,74449,Fibra optica
2023,4,Catamarca,6669,11016,55437,1384,81,74587,7307,11287,55743,1411,92,75842,Fibra optica
2024,1,Catamarca,5901,11025,56542,1384,81,74933,6802,11236,56545,1411,82,76078,Fibra optica
2024,2,Catamarca,4951,10303,58355,1384,81,75074,6019,11245,57672,1411,82,76431,Fibra optica
2014,1,Chaco,52971,9497,30,0,58,62556,0,0,0,0,0,0,ADSL
2014,2,Chaco,53321,9870,30,0,58,63279,54030,9686,30,0,59,63807,ADSL
2014,3,Chaco,53321,10336,29,1,59,63746,54387,10067,30,0,59,64544,ADSL
2014,4,Chaco,55024,10918,31,0,62,66035,54387,10542,29,1,60,65020,ADSL
2015,1,Chaco,54952,26161,164,27,56,81360,56124,11136,31,0,63,67355,ADSL
2015,2,Chaco,55767,27809,179,52,41,83848,56051,26684,167,27,57,82987,ADSL
2015,3,Chaco,56282,28809,186,52,41,85370,56882,28365,182,53,41,85524,ADSL
2015,4,Chaco,56818,29456,186,52,41,86553,57407,29385,189,53,41,87077,ADSL
2016,1,Chaco,56353,29994,211,52,41,86651,57954,30045,189,53,41,88284,ADSL
2016,2,Chaco,56112,31825,221,52,41,88251,57480,30593,215,53,41,88384,ADSL
2016,3,Chaco,56251,32730,232,2,15,89230,57234,32461,225,53,41,90016,ADSL
2016,4,Chaco,54974,33534,248,52,39,88847,57376,33384,236,2,15,91014,ADSL
2017,1,Chaco,54430,34277,252,52,39,89050,56073,34204,252,53,39,90623,ADSL
2017,2,Chaco,54449,35613,458,52,39,90611,55518,34962,257,53,39,90831,ADSL
2017,3,Chaco,54888,37307,456,36,1072,93759,55537,36325,467,53,39,92423,ADSL
2017,4,Chaco,55035,39690,389,380,1121,96615,55985,38053,465,36,1093,95634,ADSL
2018,1,Chaco,54879,40157,383,388,1130,96937,56135,40483,396,387,1143,98547,ADSL
2018,2,Chaco,54134,40750,562,1946,1129,98521,55976,40960,390,395,1152,98875,ADSL
2018,3,Chaco,53927,42359,1990,2628,1129,102033,55216,41565,573,1984,1151,100491,ADSL
2018,4,Chaco,53409,43555,1940,3236,1130,103270,55005,43206,2029,2680,1151,104073,ADSL
2019,1,Chaco,53409,43555,1951,3628,1134,103677,54477,44426,1978,3300,1152,105335,ADSL
2019,2,Chaco,50765,47448,4203,4727,1591,108734,54477,44426,1990,3700,1156,105750,ADSL
2019,3,Chaco,50416,49156,8063,5224,1592,114451,51780,48396,4287,4821,1622,110908,ADSL
2019,4,Chaco,48661,53602,8831,5229,1580,117903,51424,50139,8224,5328,1623,116740,Cablemodem
2020,1,Chaco,46356,54144,11958,6239,1580,120277,49634,54674,9007,5333,1611,120261,Cablemodem
2020,2,Chaco,46816,56017,17266,6452,1581,128132,47283,55226,12197,6363,1611,122682,Cablemodem
2020,3,Chaco,45745,58825,20675,6706,2003,133954,47752,57137,17611,6581,1612,130694,Cablemodem
2020,4,Chaco,44332,61200,23687,7997,1875,139091,46659,60001,21088,6840,2043,136633,Cablemodem
2021,1,Chaco,43214,61251,25426,8004,1875,139770,45218,62424,24160,8156,1912,141872,Cablemodem
2021,2,Chaco,39826,62948,27584,8018,2353,140729,44078,62476,25934,8164,1912,142565,Cablemodem
2021,3,Chaco,38258,63659,27583,8018,2353,139871,40622,64206,28135,8178,2400,143543,Cablemodem
2021,4,Chaco,35548,63145,34688,8005,2359,143745,39023,64932,28134,8178,2400,142668,Cablemodem
2022,1,Chaco,32391,64546,36662,8164,2356,144119,36258,64407,35381,8165,2406,146619,Cablemodem
2022,2,Chaco,29552,61284,42194,8178,2356,143564,33038,65836,37395,8327,2403,147001,Cablemodem
2022,3,Chaco,27164,61800,44645,8178,2359,144146,30143,62509,43037,8341,2403,146435,Cablemodem
2022,4,Chaco,24582,61265,47285,7957,2574,143663,27707,63036,45537,8341,2406,147028,Cablemodem
2023,1,Chaco,21243,60727,49756,8142,2574,142442,25073,62490,48230,8116,2625,146536,Cablemodem
2023,2,Chaco,19115,59944,51955,8267,2574,141855,21667,61941,50751,8304,2625,145290,Cablemodem
2023,3,Chaco,16420,60058,54993,8267,2408,142146,19497,61142,52994,8432,2625,144692,Cablemodem
2023,4,Chaco,14000,60277,62301,8404,2404,147386,16748,61259,56092,8432,2456,144988,Fibra optica
2024,1,Chaco,11343,58929,64463,8404,12404,155543,14280,61482,63547,8572,2452,150333,Fibra optica
2024,2,Chaco,9448,57935,68944,8407,2358,147092,11569,60107,65752,8572,12652,158653,Fibra optica
2014,1,Chubut,51066,539,866,10776,6974,70221,0,0,0,0,0,0,ADSL
2014,2,Chubut,51070,649,866,10960,6974,70519,52087,549,883,10991,7113,71625,ADSL
2014,3,Chubut,49219,668,882,11853,6515,69137,52091,661,883,11179,7113,71929,ADSL
2014,4,Chubut,48539,697,891,12256,6159,68542,50203,681,899,12090,6645,70519,ADSL
2015,1,Chubut,45645,717,906,12540,5465,65273,49509,710,908,12501,6282,69912,ADSL
2015,2,Chubut,43949,762,916,13055,4803,63485,46557,731,924,12790,5574,66578,ADSL
2015,3,Chubut,43964,792,916,13408,4803,63883,44827,777,934,13316,4899,64754,ADSL
2015,4,Chubut,43968,811,916,13521,4803,64019,44843,807,934,13676,4899,65160,ADSL
2016,1,Chubut,43967,834,916,13280,4803,63800,44847,827,934,13791,4899,65299,ADSL
2016,2,Chubut,43977,867,916,13293,4803,63856,44846,850,934,13545,4899,65076,ADSL
2016,3,Chubut,43987,935,916,13364,4750,63952,44856,884,934,13558,4899,65133,ADSL
2016,4,Chubut,43994,955,916,13107,4793,63765,44866,953,934,13631,4845,65231,ADSL
2017,1,Chubut,43994,999,916,13194,4793,63896,44873,974,934,13369,4888,65040,ADSL
2017,2,Chubut,43994,1067,916,13194,4804,63975,44873,1018,934,13457,4888,65173,ADSL
2017,3,Chubut,56359,5645,1217,13503,6820,83544,44873,1088,934,13457,4900,65254,ADSL
2017,4,Chubut,56378,15097,1187,14070,6708,93440,57486,5757,1241,13773,6956,85214,ADSL
2018,1,Chubut,56375,19591,1194,14070,6729,97959,57505,15398,1210,14351,6842,95308,ADSL
2018,2,Chubut,58935,19591,1239,14070,6729,100564,57502,19982,1217,14351,6863,99918,ADSL
2018,3,Chubut,58887,23065,1239,13817,6728,103736,60113,19982,1263,14351,6863,102575,ADSL
2018,4,Chubut,37215,23065,952,14443,3047,78722,60064,23526,1263,14093,6862,105810,ADSL
2019,1,Chubut,37302,23065,1923,14443,3045,79778,37959,23526,971,14731,3107,80296,ADSL
2019,2,Chubut,37313,26338,1917,14443,7545,87556,38048,23526,1961,14731,3105,81373,ADSL
2019,3,Chubut,37298,27090,1917,15149,7551,89005,38059,26864,1955,14731,7695,89307,ADSL
2019,4,Chubut,47045,26977,1324,15267,5489,96102,38043,27631,1955,15451,7702,90785,ADSL
2020,1,Chubut,45763,27287,1324,16885,5479,96738,47985,27516,1350,15572,5598,98024,ADSL
2020,2,Chubut,45761,38279,1324,17678,5614,108656,46678,27832,1350,17222,5588,98672,ADSL
2020,3,Chubut,45761,39386,2897,23216,18767,130027,46676,39044,1350,18031,5726,110829,ADSL
2020,4,Chubut,45703,39756,3040,23363,18712,130574,46676,40173,2954,23680,19142,132627,ADSL
2021,1,Chubut,45501,40960,3444,23723,18712,132340,46617,40551,3100,23830,19086,133185,ADSL
2021,2,Chubut,49271,41497,6081,23682,18706,139237,46411,41779,3512,24197,19086,134986,ADSL
2021,3,Chubut,49269,55794,8946,23376,18681,156066,50256,42326,6202,24155,19080,142021,Cablemodem
2021,4,Chubut,46361,57412,9655,28041,18839,160308,50254,56909,9124,23843,19054,159187,Cablemodem
2022,1,Chubut,44133,66667,9184,30592,21052,171628,47288,58560,9848,28601,19215,163514,Cablemodem
2022,2,Chubut,45377,69242,9574,29784,8828,162805,45015,68000,9367,31203,21473,175060,Cablemodem
2022,3,Chubut,45377,72212,9574,29784,8831,165778,46284,70626,9765,30379,9004,166061,Cablemodem
2022,4,Chubut,45450,73923,9815,30721,8850,168759,46284,73656,9765,30379,9007,169093,Cablemodem
2023,1,Chubut,45448,73525,9815,30521,10744,170053,46359,75401,10011,31335,9027,172134,Cablemodem
2023,2,Chubut,33702,73689,16111,30521,9938,163961,46356,74995,10011,31131,10958,173454,Cablemodem
2023,3,Chubut,26352,75460,25827,30521,9908,168068,34376,75162,16433,31131,10136,167240,Cablemodem
2023,4,Chubut,26306,77217,26174,30543,9930,170170,26879,76969,26343,31131,10106,171429,Cablemodem
2024,1,Chubut,26306,77217,26356,30867,9930,170676,26832,78761,26697,31153,10128,173573,Cablemodem
2024,2,Chubut,25955,80704,26516,31118,9930,174223,26832,78761,26883,31484,10128,174089,Cablemodem
2014,1,Corrientes,52565,8279,31,1306,55,62236,0,0,0,0,0,0,ADSL
2014,2,Corrientes,52883,8680,31,1309,55,62958,53616,8444,31,1332,56,63480,ADSL
2014,3,Corrientes,52957,9184,31,1312,65,63549,53940,8853,31,1335,56,64217,ADSL
2014,4,Corrientes,54754,9526,40,1315,75,65710,54016,9367,31,1338,66,64819,ADSL
2015,1,Corrientes,54649,25372,129,1319,62,81531,55849,9716,40,1341,76,67024,ADSL
2015,2,Corrientes,55238,26553,157,1321,47,83316,55741,25879,131,1345,63,83161,ADSL
2015,3,Corrientes,55792,27604,176,1340,47,84959,56342,27084,160,1347,47,84982,ADSL
2015,4,Corrientes,55681,28178,177,1354,45,85435,56907,28156,179,1366,47,86658,ADSL
2016,1,Corrientes,55454,28491,192,1354,45,85536,56794,28741,180,1381,45,87143,ADSL
2016,2,Corrientes,55511,29845,203,1354,43,86956,56563,29060,195,1381,45,87246,ADSL
2016,3,Corrientes,55934,30813,217,1354,22,88340,56621,30441,207,1381,43,88695,ADSL
2016,4,Corrientes,54981,31497,233,1354,31,88096,57052,31429,221,1381,22,90106,ADSL
2017,1,Corrientes,54993,31994,236,1354,31,88608,56080,32126,237,1381,31,89857,ADSL
2017,2,Corrientes,55262,33192,258,1354,31,90097,56092,32633,240,1381,31,90380,ADSL
2017,3,Corrientes,56247,33993,947,1334,27,92548,56367,33855,263,1381,31,91898,ADSL
2017,4,Corrientes,56786,34722,894,1334,35,93771,57371,34672,965,1360,27,94398,ADSL
2018,1,Corrientes,56937,35225,888,1334,33,94417,57921,35416,911,1360,35,95646,ADSL
2018,2,Corrientes,56541,39715,201,1468,32,97957,58075,35929,905,1360,33,96305,ADSL
2018,3,Corrientes,56444,41300,212,1468,32,99456,57671,40509,205,1497,32,99916,ADSL
2018,4,Corrientes,55842,42418,796,1515,30,100601,57572,42126,216,1497,32,101445,ADSL
2019,1,Corrientes,55842,43444,1615,1528,58,102487,56958,43266,811,1545,30,102613,ADSL
2019,2,Corrientes,53835,47431,1701,2444,6138,111549,56958,44312,1647,1558,59,104536,ADSL
2019,3,Corrientes,53344,50230,1888,2458,4839,112759,54911,48379,1735,2492,6260,113779,ADSL
2019,4,Corrientes,52525,51845,2002,2458,5004,113834,54410,51234,1925,2507,4935,115014,ADSL
2020,1,Corrientes,51126,53231,2172,2437,5004,113970,53575,52881,2042,2507,5104,116110,Cablemodem
2020,2,Corrientes,51248,55536,3144,3927,5011,118866,52148,54295,2215,2485,5104,116249,Cablemodem
2020,3,Corrientes,50858,58681,2960,5513,5379,123391,52272,56646,3206,4005,5111,121243,Cablemodem
2020,4,Corrientes,50102,61495,3146,5626,5290,125659,51875,59854,3019,5623,5486,125858,Cablemodem
2021,1,Corrientes,49160,62876,3337,5949,5303,126625,51104,62724,3208,5738,5395,128172,Cablemodem
2021,2,Corrientes,46648,67262,3731,6557,5303,129501,50143,64133,3403,6067,5409,129157,Cablemodem
2021,3,Corrientes,44805,69403,7542,6766,5303,133819,47580,68607,3805,6688,5409,132091,Cablemodem
2021,4,Corrientes,42523,71183,10138,6778,5290,135912,45701,70791,7692,6901,5409,136495,Cablemodem
2022,1,Corrientes,40462,79093,10875,6774,5374,142578,43373,72606,10340,6913,5395,138630,Cablemodem
2022,2,Corrientes,38468,75769,18181,7256,5323,144997,41271,80674,11092,6909,5481,145429,Cablemodem
2022,3,Corrientes,36508,77140,18619,7256,5323,144846,39237,77284,18544,7401,5429,147896,Cablemodem
2022,4,Corrientes,34038,80283,26752,9082,5298,155453,37238,78682,18991,7401,5429,147742,Cablemodem
2023,1,Corrientes,29577,81116,30016,11071,5240,157020,34718,81888,27287,9263,5403,158562,Cablemodem
2023,2,Corrientes,26821,82977,32834,10407,5255,158294,30168,82738,30616,11292,5344,160160,Cablemodem
2023,3,Corrientes,24253,83897,36032,10407,5240,159829,27357,84636,33490,10615,5360,161459,Cablemodem
2023,4,Corrientes,21769,86102,35968,10402,5231,159472,24738,85574,36752,10615,5344,163025,Cablemodem
2024,1,Corrientes,18390,85595,38268,10409,5232,157894,22204,87824,36687,10610,5335,162661,Cablemodem
2024,2,Corrientes,14849,86226,39792,10295,5313,156475,18757,87306,39033,10617,5336,161051,Cablemodem
2014,1,Córdoba,336841,225769,347,3585,368,566910,0,0,0,0,0,0,ADSL
2014,2,Córdoba,337825,234729,351,3673,374,576952,343577,230284,353,3656,375,578248,ADSL
2014,3,Córdoba,340212,240334,444,4064,377,585431,344581,239423,358,3746,381,588491,ADSL
2014,4,Córdoba,345157,240452,419,3918,486,590432,347016,245140,452,4145,384,597139,ADSL
2015,1,Córdoba,343883,247564,415,4645,450,596957,352060,245261,427,3996,495,602240,ADSL
2015,2,Córdoba,348130,255596,435,5199,386,609746,350760,252515,423,4737,459,608896,ADSL
2015,3,Córdoba,351692,264055,1450,5412,389,622998,355092,260707,443,5302,393,621940,ADSL
2015,4,Córdoba,353530,266062,480,5613,385,626070,358725,269336,1479,5520,396,635457,ADSL
2016,1,Córdoba,350884,252346,674,5636,386,609926,360600,271383,489,5725,392,638591,ADSL
