Año,Trimestre,Provincia,Mbps,Latitud,Longitud,Meta Mbps
2023,3,Capital Federal,"218,13","-34,6037","-58,3816","212,17"
2023,4,Capital Federal,"234,44","-34,6037","-58,3816","222,49"
2024,1,Capital Federal,"229,94","-34,6037","-58,3816","239,13"
2024,2,Capital Federal,"233,01","-34,6037","-58,3816","234,54"
2014,1,Catamarca,"2,80","-28,4696","-65,7795","0,00"
2014,2,Catamarca,"2,92","-28,4696","-65,7795","2,86"
2014,3,Catamarca,"2,92","-28,4696","-65,7795","2,97"
2014,4,Catamarca,"3,34","-28,4696","-65,7795","2,97"
2015,1,Catamarca,"3,48","-28,4696","-65,7795","3,40"
2015,2,Catamarca,"3,68","-28,4696","-65,7795","3,55"
2015,3,Catamarca,"3,88","-28,4696","-65,7795","3,76"
2015,4,Catamarca,"4,12","-28,4696","-65,7795","3,96"
2016,1,Catamarca,"4,20","-28,4696","-65,7795","4,21"
2016,2,Catamarca,"4,36","-28,4696","-65,7795","4,29"
2016,3,Catamarca,"4,73","-28,4696","-65,7795","4,45"
2016,4,Catamarca,"4,89","-28,4696","-65,7795","4,82"
2017,1,Catamarca,"4,97","-28,4696","-65,7795","4,98"
2017,2,Catamarca,"5,10","-28,4696","-65,7795","5,07"
2017,3,Catamarca,"5,26","-28,4696","-65,7795","5,20"
2017,4,Catamarca,"7,78","-28,4696","-65,7795","5,37"
2018,1,Catamarca,"8,20","-28,4696","-65,7795","7,94"
2018,2,Catamarca,"7,69","-28,4696","-65,7795","8,36"
2018,3,Catamarca,"7,81","-28,4696","-65,7795","7,85"
2018,4,Catamarca,"8,04","-28,4696","-65,7795","7,96"
2019,1,Catamarca,"7,96","-28,4696","-65,7795","8,20"
2019,2,Catamarca,"8,81","-28,4696","-65,7795","8,12"
2019,3,Catamarca,"9,29","-28,4696","-65,7795","8,99"
2019,4,Catamarca,"24,88","-28,4696","-65,7795","9,48"
2020,1,Catamarca,"29,13","-28,4696","-65,7795","25,38"
2020,2,Catamarca,"34,93","-28,4696","-65,7795","29,71"
2020,3,Catamarca,"36,54","-28,4696","-65,7795","35,62"
2020,4,Catamarca,"37,65","-28,4696","-65,7795","37,27"
2021,1,Catamarca,"39,97","-28,4696","-65,7795","38,40"
2021,2,Catamarca,"42,19","-28,4696","-65,7795","40,77"
2021,3,Catamarca,"43,43","-28,4696","-65,7795","43,03"
2021,4,Catamarca,"46,38","-28,4696","-65,7795","44,30"
2022,1,Catamarca,"51,22","-28,4696","-65,7795","47,31"
2022,2,Catamarca,"56,56","-28,4696","-65,7795","52,24"
2022,3,Catamarca,"60,99","-28,4696","-65,7795","57,69"
2022,4,Catamarca,"83,33","-28,4696","-65,7795","62,21"
2023,1,Catamarca,"87,41","-28,4696","-65,7795","85,00"
2023,2,Catamarca,"86,13","-28,4696","-65,7795","89,16"
2023,3,Catamarca,"87,90","-28,4696","-65,7795","87,85"
2023,4,Catamarca,"89,40","-28,4696","-65,7795","89,66"
2024,1,Catamarca,"91,45","-28,4696","-65,7795","91,19"
2024,2,Catamarca,"97,38","-28,4696","-65,7795","93,28"
2014,1,Chaco,"3,26","-27,4515","-58,9864","0,00"
2014,2,Chaco,"3,42","-27,4515","-58,9864","3,32"
2014,3,Chaco,"3,46","-27,4515","-58,9864","3,49"
2014,4,Chaco,"3,98","-27,4515","-58,9864","3,53"
2015,1,Chaco,"4,90","-27,4515","-58,9864","4,06"
2015,2,Chaco,"5,19","-27,4515","-58,9864","5,00"
2015,3,Chaco,"5,47","-27,4515","-58,9864","5,30"
2015,4,Chaco,"5,83","-27,4515","-58,9864","5,58"
2016,1,Chaco,"5,99","-27,4515","-58,9864","5,94"
2016,2,Chaco,"6,30","-27,4515","-58,9864","6,11"
2016,3,Chaco,"6,72","-27,4515","-58,9864","6,42"
2016,4,Chaco,"7,08","-27,4515","-58,9864","6,85"
2017,1,Chaco,"7,31","-27,4515","-58,9864","7,22"
2017,2,Chaco,"7,69","-27,4515","-58,9864","7,45"
2017,3,Chaco,"8,48","-27,4515","-58,9864","7,84"
2017,4,Chaco,"11,70","-27,4515","-58,9864","8,65"
2018,1,Chaco,"12,44","-27,4515","-58,9864","11,94"
2018,2,Chaco,"12,50","-27,4515","-58,9864","12,69"
2018,3,Chaco,"12,89","-27,4515","-58,9864","12,75"
2018,4,Chaco,"13,49","-27,4515","-58,9864","13,15"
2019,1,Chaco,"13,44","-27,4515","-58,9864","13,76"
2019,2,Chaco,"16,01","-27,4515","-58,9864","13,71"
2019,3,Chaco,"19,99","-27,4515","-58,9864","16,33"
2019,4,Chaco,"23,37","-27,4515","-58,9864","20,39"
2020,1,Chaco,"25,94","-27,4515","-58,9864","23,84"
2020,2,Chaco,"27,95","-27,4515","-58,9864","26,46"
2020,3,Chaco,"30,80","-27,4515","-58,9864","28,51"
2020,4,Chaco,"32,45","-27,4515","-58,9864","31,42"
2021,1,Chaco,"33,63","-27,4515","-58,9864","33,10"
2021,2,Chaco,"37,40","-27,4515","-58,9864","34,30"
2021,3,Chaco,"39,11","-27,4515","-58,9864","38,14"
2021,4,Chaco,"42,34","-27,4515","-58,9864","39,90"
2022,1,Chaco,"45,84","-27,4515","-58,9864","43,19"
2022,2,Chaco,"50,61","-27,4515","-58,9864","46,76"
2022,3,Chaco,"53,21","-27,4515","-58,9864","51,62"
2022,4,Chaco,"104,02","-27,4515","-58,9864","54,27"
2023,1,Chaco,"104,33","-27,4515","-58,9864","106,10"
2023,2,Chaco,"105,45","-27,4515","-58,9864","106,42"
2023,3,Chaco,"107,50","-27,4515","-58,9864","107,56"
2023,4,Chaco,"107,14","-27,4515","-58,9864","109,65"
2024,1,Chaco,"107,51","-27,4515","-58,9864","109,28"
2024,2,Chaco,"107,76","-27,4515","-58,9864","109,66"
2014,1,Chubut,"3,18","-43,3002","-65,1023","0,00"
2014,2,Chubut,"3,16","-43,3002","-65,1023","3,24"
2014,3,Chubut,"3,17","-43,3002","-65,1023","3,22"
2014,4,Chubut,"3,17","-43,3002","-65,1023","3,23"
2015,1,Chubut,"3,21","-43,3002","-65,1023","3,24"
2015,2,Chubut,"3,22","-43,3002","-65,1023","3,28"
2015,3,Chubut,"3,28","-43,3002","-65,1023","3,28"
2015,4,Chubut,"3,28","-43,3002","-65,1023","3,34"
2016,1,Chubut,"3,38","-43,3002","-65,1023","3,35"
2016,2,Chubut,"3,34","-43,3002","-65,1023","3,45"
2016,3,Chubut,"3,34","-43,3002","-65,1023","3,40"
2016,4,Chubut,"3,41","-43,3002","-65,1023","3,41"
2017,1,Chubut,"3,44","-43,3002","-65,1023","3,48"
2017,2,Chubut,"3,45","-43,3002","-65,1023","3,51"
2017,3,Chubut,"3,48","-43,3002","-65,1023","3,52"
2017,4,Chubut,"5,41","-43,3002","-65,1023","3,55"
2018,1,Chubut,"5,42","-43,3002","-65,1023","5,52"
2018,2,Chubut,"5,33","-43,3002","-65,1023","5,53"
2018,3,Chubut,"6,08","-43,3002","-65,1023","5,44"
2018,4,Chubut,"6,09","-43,3002","-65,1023","6,20"
2019,1,Chubut,"5,89","-43,3002","-65,1023","6,21"
2019,2,Chubut,"6,05","-43,3002","-65,1023","6,01"
2019,3,Chubut,"6,97","-43,3002","-65,1023","6,18"
2019,4,Chubut,"6,99","-43,3002","-65,1023","7,11"
2020,1,Chubut,"7,12","-43,3002","-65,1023","7,13"
2020,2,Chubut,"7,61","-43,3002","-65,1023","7,26"
2020,3,Chubut,"7,40","-43,3002","-65,1023","7,76"
2020,4,Chubut,"7,38","-43,3002","-65,1023","7,55"
2021,1,Chubut,"7,53","-43,3002","-65,1023","7,53"
2021,2,Chubut,"7,68","-43,3002","-65,1023","7,68"
2021,3,Chubut,"8,18","-43,3002","-65,1023","7,83"
2021,4,Chubut,"9,08","-43,3002","-65,1023","8,34"
2022,1,Chubut,"13,40","-43,3002","-65,1023","9,26"
2022,2,Chubut,"14,91","-43,3002","-65,1023","13,67"
2022,3,Chubut,"15,57","-43,3002","-65,1023","15,21"
2022,4,Chubut,"15,92","-43,3002","-65,1023","15,88"
2023,1,Chubut,"18,36","-43,3002","-65,1023","16,24"
2023,2,Chubut,"18,58","-43,3002","-65,1023","18,73"
2023,3,Chubut,"19,26","-43,3002","-65,1023","18,95"
2023,4,Chubut,"20,29","-43,3002","-65,1023","19,65"
2024,1,Chubut,"20,50","-43,3002","-65,1023","20,70"
2024,2,Chubut,"21,67","-43,3002","-65,1023","20,91"
2014,1,Corrientes,"3,22","-27,4806","-58,8341","0,00"
2014,2,Corrientes,"3,37","-27,4806","-58,8341","3,28"
2014,3,Corrientes,"3,41","-27,4806","-58,8341","3,43"
2014,4,Corrientes,"3,81","-27,4806","-58,8341","3,48"
2015,1,Corrientes,"4,63","-27,4806","-58,8341","3,88"
2015,2,Corrientes,"4,85","-27,4806","-58,8341","4,72"
2015,3,Corrientes,"5,06","-27,4806","-58,8341","4,94"
2015,4,Corrientes,"5,26","-27,4806","-58,8341","5,16"
2016,1,Corrientes,"5,37","-27,4806","-58,8341","5,36"
2016,2,Corrientes,"5,60","-27,4806","-58,8341","5,48"
2016,3,Corrientes,"5,96","-27,4806","-58,8341","5,71"
2016,4,Corrientes,"6,24","-27,4806","-58,8341","6,08"
2017,1,Corrientes,"6,43","-27,4806","-58,8341","6,36"
2017,2,Corrientes,"6,79","-27,4806","-58,8341","6,56"
2017,3,Corrientes,"7,45","-27,4806","-58,8341","6,93"
2017,4,Corrientes,"10,38","-27,4806","-58,8341","7,60"
2018,1,Corrientes,"11,12","-27,4806","-58,8341","10,59"
2018,2,Corrientes,"10,88","-27,4806","-58,8341","11,34"
2018,3,Corrientes,"11,49","-27,4806","-58,8341","11,10"
