Año,Trimestre,Provincia,Accesos/100 hogares,Latitud,Longitud,Accesos hogares trimestre anterior,Accesos hogares meta
2021,2,Capital Federal,"110,14","-34,6037","-58,3816","108,42","110,59"
2021,3,Capital Federal,"111,27","-34,6037","-58,3816","110,14","112,35"
2021,4,Capital Federal,"111,27","-34,6037","-58,3816","111,27","113,50"
2022,1,Capital Federal,"111,80","-34,6037","-58,3816","111,27","113,50"
2022,2,Capital Federal,"121,31","-34,6037","-58,3816","111,80","114,03"
2022,3,Capital Federal,"122,28","-34,6037","-58,3816","121,31","123,74"
2022,4,Capital Federal,"122,73","-34,6037","-58,3816","122,28","124,73"
2023,1,Capital Federal,"122,59","-34,6037","-58,3816","122,73","125,18"
2023,2,Capital Federal,"115,48","-34,6037","-58,3816","122,59","125,04"
2023,3,Capital Federal,"116,40","-34,6037","-58,3816","115,48","117,79"
2023,4,Capital Federal,"117,02","-34,6037","-58,3816","116,40","118,73"
2024,1,Capital Federal,"119,53","-34,6037","-58,3816","117,02","119,36"
2024,2,Capital Federal,"116,37","-34,6037","-58,3816","119,53","121,92"
2014,1,Catamarca,"24,25","-28,4696","-65,7795","0,00","0,00"
2014,2,Catamarca,"24,70","-28,4696","-65,7795","24,25","24,74"
2014,3,Catamarca,"24,71","-28,4696","-65,7795","24,70","25,20"
2014,4,Catamarca,"25,51","-28,4696","-65,7795","24,71","25,20"
2015,1,Catamarca,"25,11","-28,4696","-65,7795","25,51","26,02"
2015,2,Catamarca,"25,45","-28,4696","-65,7795","25,11","25,61"
2015,3,Catamarca,"25,86","-28,4696","-65,7795","25,45","25,96"
2015,4,Catamarca,"26,24","-28,4696","-65,7795","25,86","26,38"
2016,1,Catamarca,"25,91","-28,4696","-65,7795","26,24","26,76"
2016,2,Catamarca,"26,07","-28,4696","-65,7795","25,91","26,43"
2016,3,Catamarca,"26,48","-28,4696","-65,7795","26,07","26,60"
2016,4,Catamarca,"26,54","-28,4696","-65,7795","26,48","27,01"
2017,1,Catamarca,"25,66","-28,4696","-65,7795","26,54","27,07"
2017,2,Catamarca,"25,98","-28,4696","-65,7795","25,66","26,17"
2017,3,Catamarca,"32,49","-28,4696","-65,7795","25,98","26,50"
2017,4,Catamarca,"28,62","-28,4696","-65,7795","32,49","33,14"
2018,1,Catamarca,"32,79","-28,4696","-65,7795","28,62","29,19"
2018,2,Catamarca,"32,86","-28,4696","-65,7795","32,79","33,45"
2018,3,Catamarca,"32,92","-28,4696","-65,7795","32,86","33,51"
2018,4,Catamarca,"32,23","-28,4696","-65,7795","32,92","33,57"
2019,1,Catamarca,"32,19","-28,4696","-65,7795","32,23","32,87"
2019,2,Catamarca,"32,13","-28,4696","-65,7795","32,19","32,83"
2019,3,Catamarca,"30,88","-28,4696","-65,7795","32,13","32,77"
2019,4,Catamarca,"36,44","-28,4696","-65,7795","30,88","31,50"
2020,1,Catamarca,"37,62","-28,4696","-65,7795","36,44","37,17"
2020,2,Catamarca,"45,43","-28,4696","-65,7795","37,62","38,37"
2020,3,Catamarca,"47,16","-28,4696","-65,7795","45,43","46,34"
2020,4,Catamarca,"49,41","-28,4696","-65,7795","47,16","48,10"
2021,1,Catamarca,"48,90","-28,4696","-65,7795","49,41","50,40"
2021,2,Catamarca,"52,34","-28,4696","-65,7795","48,90","49,88"
2021,3,Catamarca,"52,71","-28,4696","-65,7795","52,34","53,39"
2021,4,Catamarca,"55,25","-28,4696","-65,7795","52,71","53,76"
2022,1,Catamarca,"58,21","-28,4696","-65,7795","55,25","56,36"
2022,2,Catamarca,"62,40","-28,4696","-65,7795","58,21","59,37"
2022,3,Catamarca,"65,33","-28,4696","-65,7795","62,40","63,65"
2022,4,Catamarca,"65,77","-28,4696","-65,7795","65,33","66,64"
2023,1,Catamarca,"66,17","-28,4696","-65,7795","65,77","67,09"
2023,2,Catamarca,"67,42","-28,4696","-65,7795","66,17","67,49"
2023,3,Catamarca,"68,55","-28,4696","-65,7795","67,42","68,77"
2023,4,Catamarca,"68,63","-28,4696","-65,7795","68,55","69,92"
2024,1,Catamarca,"68,82","-28,4696","-65,7795","68,63","70,00"
2024,2,Catamarca,"68,81","-28,4696","-65,7795","68,82","70,20"
2014,1,Chaco,"20,72","-27,4515","-58,9864","0,00","0,00"
2014,2,Chaco,"20,96","-27,4515","-58,9864","20,72","21,13"
2014,3,Chaco,"21,11","-27,4515","-58,9864","20,96","21,38"
2014,4,Chaco,"21,87","-27,4515","-58,9864","21,11","21,53"
2015,1,Chaco,"26,65","-27,4515","-58,9864","21,87","22,31"
2015,2,Chaco,"27,46","-27,4515","-58,9864","26,65","27,18"
2015,3,Chaco,"27,96","-27,4515","-58,9864","27,46","28,01"
2015,4,Chaco,"28,35","-27,4515","-58,9864","27,96","28,52"
2016,1,Chaco,"28,08","-27,4515","-58,9864","28,35","28,92"
2016,2,Chaco,"28,59","-27,4515","-58,9864","28,08","28,64"
2016,3,Chaco,"28,91","-27,4515","-58,9864","28,59","29,17"
2016,4,Chaco,"28,79","-27,4515","-58,9864","28,91","29,49"
2017,1,Chaco,"28,62","-27,4515","-58,9864","28,79","29,36"
2017,2,Chaco,"29,05","-27,4515","-58,9864","28,62","29,19"
2017,3,Chaco,"29,98","-27,4515","-58,9864","29,05","29,63"
2017,4,Chaco,"30,81","-27,4515","-58,9864","29,98","30,58"
2018,1,Chaco,"30,83","-27,4515","-58,9864","30,81","31,42"
2018,2,Chaco,"31,25","-27,4515","-58,9864","30,83","31,45"
2018,3,Chaco,"32,28","-27,4515","-58,9864","31,25","31,88"
2018,4,Chaco,"32,59","-27,4515","-58,9864","32,28","32,93"
2019,1,Chaco,"32,64","-27,4515","-58,9864","32,59","33,24"
2019,2,Chaco,"34,14","-27,4515","-58,9864","32,64","33,29"
2019,3,Chaco,"35,85","-27,4515","-58,9864","34,14","34,82"
2019,4,Chaco,"36,84","-27,4515","-58,9864","35,85","36,56"
2020,1,Chaco,"37,48","-27,4515","-58,9864","36,84","37,57"
2020,2,Chaco,"39,83","-27,4515","-58,9864","37,48","38,23"
2020,3,Chaco,"41,54","-27,4515","-58,9864","39,83","40,63"
2020,4,Chaco,"43,03","-27,4515","-58,9864","41,54","42,37"
2021,1,Chaco,"43,14","-27,4515","-58,9864","43,03","43,89"
2021,2,Chaco,"43,33","-27,4515","-58,9864","43,14","44,00"
2021,3,Chaco,"42,96","-27,4515","-58,9864","43,33","44,19"
2021,4,Chaco,"44,05","-27,4515","-58,9864","42,96","43,82"
2022,1,Chaco,"44,06","-27,4515","-58,9864","44,05","44,93"
2022,2,Chaco,"43,79","-27,4515","-58,9864","44,06","44,94"
2022,3,Chaco,"43,86","-27,4515","-58,9864","43,79","44,67"
2022,4,Chaco,"43,62","-27,4515","-58,9864","43,86","44,74"
2023,1,Chaco,"43,15","-27,4515","-58,9864","43,62","44,49"
2023,2,Chaco,"42,87","-27,4515","-58,9864","43,15","44,01"
2023,3,Chaco,"42,87","-27,4515","-58,9864","42,87","43,73"
2023,4,Chaco,"44,35","-27,4515","-58,9864","42,87","43,73"
2024,1,Chaco,"46,70","-27,4515","-58,9864","44,35","45,24"
2024,2,Chaco,"44,06","-27,4515","-58,9864","46,70","47,63"
2014,1,Chubut,"41,24","-43,3002","-65,1023","0,00","0,00"
2014,2,Chubut,"41,41","-43,3002","-65,1023","41,24","42,06"
2014,3,Chubut,"40,60","-43,3002","-65,1023","41,41","42,24"
2014,4,Chubut,"40,25","-43,3002","-65,1023","40,60","41,41"
2015,1,Chubut,"37,61","-43,3002","-65,1023","40,25","41,05"
2015,2,Chubut,"36,58","-43,3002","-65,1023","37,61","38,37"
2015,3,Chubut,"36,81","-43,3002","-65,1023","36,58","37,31"
2015,4,Chubut,"36,89","-43,3002","-65,1023","36,81","37,55"
2016,1,Chubut,"36,09","-43,3002","-65,1023","36,89","37,63"
2016,2,Chubut,"36,12","-43,3002","-65,1023","36,09","36,81"
2016,3,Chubut,"36,18","-43,3002","-65,1023","36,12","36,85"
2016,4,Chubut,"36,07","-43,3002","-65,1023","36,18","36,90"
2017,1,Chubut,"35,66","-43,3002","-65,1023","36,07","36,79"
2017,2,Chubut,"35,55","-43,3002","-65,1023","35,66","36,38"
2017,3,Chubut,"46,22","-43,3002","-65,1023","35,55","36,26"
2017,4,Chubut,"51,46","-43,3002","-65,1023","46,22","47,14"
2018,1,Chubut,"53,72","-43,3002","-65,1023","51,46","52,49"
2018,2,Chubut,"54,90","-43,3002","-65,1023","53,72","54,79"
2018,3,Chubut,"56,39","-43,3002","-65,1023","54,90","56,00"
2018,4,Chubut,"42,61","-43,3002","-65,1023","56,39","57,52"
2019,1,Chubut,"43,00","-43,3002","-65,1023","42,61","43,46"
2019,2,Chubut,"46,99","-43,3002","-65,1023","43,00","43,86"
2019,3,Chubut,"47,57","-43,3002","-65,1023","46,99","47,93"
2019,4,Chubut,"51,15","-43,3002","-65,1023","47,57","48,52"
2020,1,Chubut,"51,27","-43,3002","-65,1023","51,15","52,17"
2020,2,Chubut,"57,34","-43,3002","-65,1023","51,27","52,29"
2020,3,Chubut,"68,34","-43,3002","-65,1023","57,34","58,49"
2020,4,Chubut,"68,35","-43,3002","-65,1023","68,34","69,71"
2021,1,Chubut,"68,99","-43,3002","-65,1023","68,35","69,72"
2021,2,Chubut,"72,29","-43,3002","-65,1023","68,99","70,37"
2021,3,Chubut,"80,71","-43,3002","-65,1023","72,29","73,74"
2021,4,Chubut,"82,57","-43,3002","-65,1023","80,71","82,32"
2022,1,Chubut,"88,05","-43,3002","-65,1023","82,57","84,22"
2022,2,Chubut,"83,19","-43,3002","-65,1023","88,05","89,81"
2022,3,Chubut,"84,38","-43,3002","-65,1023","83,19","84,85"
2022,4,Chubut,"85,57","-43,3002","-65,1023","84,38","86,07"
2023,1,Chubut,"85,89","-43,3002","-65,1023","85,57","87,28"
2023,2,Chubut,"82,49","-43,3002","-65,1023","85,89","87,61"
2023,3,Chubut,"84,23","-43,3002","-65,1023","82,49","84,14"
2023,4,Chubut,"84,96","-43,3002","-65,1023","84,23","85,91"
2024,1,Chubut,"84,89","-43,3002","-65,1023","84,96","86,66"
2024,2,Chubut,"86,33","-43,3002","-65,1023","84,89","86,59"
2014,1,Corrientes,"22,32","-27,4806","-58,8341","0,00","0,00"
2014,2,Corrientes,"22,58","-27,4806","-58,8341","22,32","22,76"
2014,3,Corrientes,"22,79","-27,4806","-58,8341","22,58","23,03"
2014,4,Corrientes,"23,56","-27,4806","-58,8341","22,79","23,24"
2015,1,Corrientes,"28,95","-27,4806","-58,8341","23,56","24,03"
2015,2,Corrientes,"29,58","-27,4806","-58,8341","28,95","29,53"
2015,3,Corrientes,"30,17","-27,4806","-58,8341","29,58","30,18"
2015,4,Corrientes,"30,34","-27,4806","-58,8341","30,17","30,77"
2016,1,Corrientes,"30,08","-27,4806","-58,8341","30,34","30,94"
2016,2,Corrientes,"30,58","-27,4806","-58,8341","30,08","30,68"
2016,3,Corrientes,"31,07","-27,4806","-58,8341","30,58","31,19"
2016,4,Corrientes,"30,98","-27,4806","-58,8341","31,07","31,69"
2017,1,Corrientes,"30,94","-27,4806","-58,8341","30,98","31,60"
2017,2,Corrientes,"31,39","-27,4806","-58,8341","30,94","31,56"
2017,3,Corrientes,"32,17","-27,4806","-58,8341","31,39","32,01"
2017,4,Corrientes,"32,52","-27,4806","-58,8341","32,17","32,81"
2018,1,Corrientes,"32,66","-27,4806","-58,8341","32,52","33,17"
2018,2,Corrientes,"33,81","-27,4806","-58,8341","32,66","33,32"
2018,3,Corrientes,"34,25","-27,4806","-58,8341","33,81","34,49"
2018,4,Corrientes,"34,57","-27,4806","-58,8341","34,25","34,93"
2019,1,Corrientes,"35,13","-27,4806","-58,8341","34,57","35,26"
2019,2,Corrientes,"38,16","-27,4806","-58,8341","35,13","35,84"
2019,3,Corrientes,"38,49","-27,4806","-58,8341","38,16","38,92"
2019,4,Corrientes,"38,77","-27,4806","-58,8341","38,49","39,26"
2020,1,Corrientes,"38,73","-27,4806","-58,8341","38,77","39,54"
2020,2,Corrientes,"40,30","-27,4806","-58,8341","38,73","39,50"
2020,3,Corrientes,"41,75","-27,4806","-58,8341","40,30","41,11"
2020,4,Corrientes,"42,43","-27,4806","-58,8341","41,75","42,59"
2021,1,Corrientes,"42,66","-27,4806","-58,8341","42,43","43,28"
2021,2,Corrientes,"43,54","-27,4806","-58,8341","42,66","43,52"
2021,3,Corrientes,"44,90","-27,4806","-58,8341","43,54","44,41"
2021,4,Corrientes,"45,51","-27,4806","-58,8341","44,90","45,80"
2022,1,Corrientes,"47,64","-27,4806","-58,8341","45,51","46,42"
2022,2,Corrientes,"48,35","-27,4806","-58,8341","47,64","48,60"
2022,3,Corrientes,"48,21","-27,4806","-58,8341","48,35","49,32"
2022,4,Corrientes,"51,64","-27,4806","-58,8341","48,21","49,17"
2023,1,Corrientes,"52,05","-27,4806","-58,8341","51,64","52,67"
2023,2,Corrientes,"52,37","-27,4806","-58,8341","52,05","53,09"
2023,3,Corrientes,"52,78","-27,4806","-58,8341","52,37","53,42"
2023,4,Corrientes,"52,56","-27,4806","-58,8341","52,78","53,84"
2024,1,Corrientes,"51,94","-27,4806","-58,8341","52,56","53,61"
2024,2,Corrientes,"51,38","-27,4806","-58,8341","51,94","52,98"
2014,1,Córdoba,"52,52","-31,4201","-64,1888","0,00","0,00"
2014,2,Córdoba,"53,45","-31,4201","-64,1888","52,52","53,57"
2014,3,Córdoba,"54,23","-31,4201","-64,1888","53,45","54,52"
2014,4,Córdoba,"54,70","-31,4201","-64,1888","54,23","55,32"
2015,1,Córdoba,"54,70","-31,4201","-64,1888","54,70","55,79"
2015,2,Córdoba,"55,87","-31,4201","-64,1888","54,70","55,79"
2015,3,Córdoba,"57,08","-31,4201","-64,1888","55,87","56,99"
2015,4,Córdoba,"57,36","-31,4201","-64,1888","57,08","58,23"
2016,1,Córdoba,"55,28","-31,4201","-64,1888","57,36","58,51"
2016,2,Córdoba,"57,55","-31,4201","-64,1888","55,28","56,39"
2016,3,Córdoba,"58,24","-31,4201","-64,1888","57,55","58,70"
2016,4,Córdoba,"57,70","-31,4201","-64,1888","58,24","59,41"
2017,1,Córdoba,"57,65","-31,4201","-64,1888","57,70","58,85"
2017,2,Córdoba,"58,97","-31,4201","-64,1888","57,65","58,81"
2017,3,Córdoba,"62,31","-31,4201","-64,1888","58,97","60,15"
2017,4,Córdoba,"63,33","-31,4201","-64,1888","62,31","63,55"
