Año,Trimestre,Provincia,Accesos/100 hab,Latitud,Longitud,Accesos poblacion trimestre anterior,Accesos poblacion meta
2021,1,Capital Federal,"44,83","-34,6037","-58,3816","44,83","45,73"
2021,2,Capital Federal,"45,49","-34,6037","-58,3816","44,83","45,72"
2021,3,Capital Federal,"45,90","-34,6037","-58,3816","45,49","46,40"
2021,4,Capital Federal,"45,85","-34,6037","-58,3816","45,90","46,82"
2022,1,Capital Federal,"46,01","-34,6037","-58,3816","45,85","46,77"
2022,2,Capital Federal,"49,87","-34,6037","-58,3816","46,01","46,93"
2022,3,Capital Federal,"50,22","-34,6037","-58,3816","49,87","50,87"
2022,4,Capital Federal,"50,35","-34,6037","-58,3816","50,22","51,22"
2023,1,Capital Federal,"50,23","-34,6037","-58,3816","50,35","51,36"
2023,2,Capital Federal,"47,27","-34,6037","-58,3816","50,23","51,23"
2023,3,Capital Federal,"47,60","-34,6037","-58,3816","47,27","48,22"
2023,4,Capital Federal,"47,80","-34,6037","-58,3816","47,60","48,55"
2024,1,Capital Federal,"48,78","-34,6037","-58,3816","47,80","48,76"
2024,2,Capital Federal,"47,44","-34,6037","-58,3816","48,78","49,76"
2014,1,Catamarca,"6,18","-28,4696","-65,7795","0,00","0,00"
2014,2,Catamarca,"6,28","-28,4696","-65,7795","6,18","6,31"
2014,3,Catamarca,"6,27","-28,4696","-65,7795","6,28","6,41"
2014,4,Catamarca,"6,46","-28,4696","-65,7795","6,27","6,40"
2015,1,Catamarca,"6,40","-28,4696","-65,7795","6,46","6,59"
2015,2,Catamarca,"6,48","-28,4696","-65,7795","6,40","6,53"
2015,3,Catamarca,"6,56","-28,4696","-65,7795","6,48","6,60"
2015,4,Catamarca,"6,64","-28,4696","-65,7795","6,56","6,70"
2016,1,Catamarca,"6,61","-28,4696","-65,7795","6,64","6,78"
2016,2,Catamarca,"6,63","-28,4696","-65,7795","6,61","6,74"
2016,3,Catamarca,"6,72","-28,4696","-65,7795","6,63","6,77"
2016,4,Catamarca,"6,72","-28,4696","-65,7795","6,72","6,86"
2017,1,Catamarca,"6,53","-28,4696","-65,7795","6,72","6,86"
2017,2,Catamarca,"6,61","-28,4696","-65,7795","6,53","6,66"
2017,3,Catamarca,"8,27","-28,4696","-65,7795","6,61","6,74"
2017,4,Catamarca,"7,28","-28,4696","-65,7795","8,27","8,43"
2018,1,Catamarca,"8,34","-28,4696","-65,7795","7,28","7,43"
2018,2,Catamarca,"8,36","-28,4696","-65,7795","8,34","8,51"
2018,3,Catamarca,"8,37","-28,4696","-65,7795","8,36","8,53"
2018,4,Catamarca,"8,20","-28,4696","-65,7795","8,37","8,54"
2019,1,Catamarca,"8,19","-28,4696","-65,7795","8,20","8,36"
2019,2,Catamarca,"8,17","-28,4696","-65,7795","8,19","8,35"
2019,3,Catamarca,"7,86","-28,4696","-65,7795","8,17","8,34"
2019,4,Catamarca,"9,27","-28,4696","-65,7795","7,86","8,01"
2020,1,Catamarca,"9,57","-28,4696","-65,7795","9,27","9,45"
2020,2,Catamarca,"11,56","-28,4696","-65,7795","9,57","9,76"
2020,3,Catamarca,"12,00","-28,4696","-65,7795","11,56","11,79"
2020,4,Catamarca,"12,57","-28,4696","-65,7795","12,00","12,24"
2021,1,Catamarca,"12,44","-28,4696","-65,7795","12,57","12,82"
2021,2,Catamarca,"13,31","-28,4696","-65,7795","12,44","12,69"
2021,3,Catamarca,"13,41","-28,4696","-65,7795","13,31","13,58"
2021,4,Catamarca,"14,05","-28,4696","-65,7795","13,41","13,68"
2022,1,Catamarca,"14,81","-28,4696","-65,7795","14,05","14,34"
2022,2,Catamarca,"15,87","-28,4696","-65,7795","14,81","15,10"
2022,3,Catamarca,"16,62","-28,4696","-65,7795","15,87","16,19"
2022,4,Catamarca,"16,73","-28,4696","-65,7795","16,62","16,95"
2023,1,Catamarca,"16,83","-28,4696","-65,7795","16,73","17,06"
2023,2,Catamarca,"17,15","-28,4696","-65,7795","16,83","17,17"
2023,3,Catamarca,"17,44","-28,4696","-65,7795","17,15","17,49"
2023,4,Catamarca,"17,46","-28,4696","-65,7795","17,44","17,79"
2024,1,Catamarca,"17,50","-28,4696","-65,7795","17,46","17,81"
2024,2,Catamarca,"17,50","-28,4696","-65,7795","17,50","17,85"
2014,1,Chaco,"5,55","-27,4515","-58,9864","0,00","0,00"
2014,2,Chaco,"5,60","-27,4515","-58,9864","5,55","5,66"
2014,3,Chaco,"5,63","-27,4515","-58,9864","5,60","5,71"
2014,4,Chaco,"5,81","-27,4515","-58,9864","5,63","5,74"
2015,1,Chaco,"7,14","-27,4515","-58,9864","5,81","5,93"
2015,2,Chaco,"7,34","-27,4515","-58,9864","7,14","7,29"
2015,3,Chaco,"7,45","-27,4515","-58,9864","7,34","7,49"
2015,4,Chaco,"7,54","-27,4515","-58,9864","7,45","7,60"
2016,1,Chaco,"7,52","-27,4515","-58,9864","7,54","7,69"
2016,2,Chaco,"7,64","-27,4515","-58,9864","7,52","7,68"
2016,3,Chaco,"7,71","-27,4515","-58,9864","7,64","7,80"
2016,4,Chaco,"7,65","-27,4515","-58,9864","7,71","7,86"
2017,1,Chaco,"7,65","-27,4515","-58,9864","7,65","7,81"
2017,2,Chaco,"7,76","-27,4515","-58,9864","7,65","7,80"
2017,3,Chaco,"8,01","-27,4515","-58,9864","7,76","7,92"
2017,4,Chaco,"8,23","-27,4515","-58,9864","8,01","8,17"
2018,1,Chaco,"8,24","-27,4515","-58,9864","8,23","8,40"
2018,2,Chaco,"8,35","-27,4515","-58,9864","8,24","8,41"
2018,3,Chaco,"8,63","-27,4515","-58,9864","8,35","8,52"
2018,4,Chaco,"8,71","-27,4515","-58,9864","8,63","8,80"
2019,1,Chaco,"8,72","-27,4515","-58,9864","8,71","8,89"
2019,2,Chaco,"9,13","-27,4515","-58,9864","8,72","8,90"
2019,3,Chaco,"9,58","-27,4515","-58,9864","9,13","9,31"
2019,4,Chaco,"9,85","-27,4515","-58,9864","9,58","9,77"
2020,1,Chaco,"10,02","-27,4515","-58,9864","9,85","10,04"
2020,2,Chaco,"10,65","-27,4515","-58,9864","10,02","10,22"
2020,3,Chaco,"11,10","-27,4515","-58,9864","10,65","10,86"
2020,4,Chaco,"11,50","-27,4515","-58,9864","11,10","11,32"
2021,1,Chaco,"11,53","-27,4515","-58,9864","11,50","11,73"
2021,2,Chaco,"11,58","-27,4515","-58,9864","11,53","11,76"
2021,3,Chaco,"11,48","-27,4515","-58,9864","11,58","11,81"
2021,4,Chaco,"11,77","-27,4515","-58,9864","11,48","11,71"
2022,1,Chaco,"11,78","-27,4515","-58,9864","11,77","12,01"
2022,2,Chaco,"11,70","-27,4515","-58,9864","11,78","12,01"
2022,3,Chaco,"11,72","-27,4515","-58,9864","11,70","11,94"
2022,4,Chaco,"11,66","-27,4515","-58,9864","11,72","11,95"
2023,1,Chaco,"11,53","-27,4515","-58,9864","11,66","11,89"
2023,2,Chaco,"11,46","-27,4515","-58,9864","11,53","11,76"
2023,3,Chaco,"11,46","-27,4515","-58,9864","11,46","11,69"
2023,4,Chaco,"11,85","-27,4515","-58,9864","11,46","11,69"
2024,1,Chaco,"12,48","-27,4515","-58,9864","11,85","12,09"
2024,2,Chaco,"11,78","-27,4515","-58,9864","12,48","12,73"
2014,1,Chubut,"12,70","-43,3002","-65,1023","0,00","0,00"
2014,2,Chubut,"12,70","-43,3002","-65,1023","12,70","12,96"
2014,3,Chubut,"12,39","-43,3002","-65,1023","12,70","12,95"
2014,4,Chubut,"12,22","-43,3002","-65,1023","12,39","12,64"
2015,1,Chubut,"11,59","-43,3002","-65,1023","12,22","12,47"
2015,2,Chubut,"11,22","-43,3002","-65,1023","11,59","11,82"
2015,3,Chubut,"11,23","-43,3002","-65,1023","11,22","11,44"
2015,4,Chubut,"11,21","-43,3002","-65,1023","11,23","11,46"
2016,1,Chubut,"11,12","-43,3002","-65,1023","11,21","11,43"
2016,2,Chubut,"11,07","-43,3002","-65,1023","11,12","11,34"
2016,3,Chubut,"11,04","-43,3002","-65,1023","11,07","11,30"
2016,4,Chubut,"10,96","-43,3002","-65,1023","11,04","11,26"
2017,1,Chubut,"10,93","-43,3002","-65,1023","10,96","11,18"
2017,2,Chubut,"10,90","-43,3002","-65,1023","10,93","11,15"
2017,3,Chubut,"14,17","-43,3002","-65,1023","10,90","11,12"
2017,4,Chubut,"15,78","-43,3002","-65,1023","14,17","14,45"
2018,1,Chubut,"16,47","-43,3002","-65,1023","15,78","16,09"
2018,2,Chubut,"16,83","-43,3002","-65,1023","16,47","16,80"
2018,3,Chubut,"17,29","-43,3002","-65,1023","16,83","17,17"
2018,4,Chubut,"13,06","-43,3002","-65,1023","17,29","17,63"
2019,1,Chubut,"13,18","-43,3002","-65,1023","13,06","13,32"
2019,2,Chubut,"14,40","-43,3002","-65,1023","13,18","13,44"
2019,3,Chubut,"14,58","-43,3002","-65,1023","14,40","14,69"
2019,4,Chubut,"15,68","-43,3002","-65,1023","14,58","14,87"
2020,1,Chubut,"15,72","-43,3002","-65,1023","15,68","15,99"
2020,2,Chubut,"17,58","-43,3002","-65,1023","15,72","16,03"
2020,3,Chubut,"20,95","-43,3002","-65,1023","17,58","17,93"
2020,4,Chubut,"20,95","-43,3002","-65,1023","20,95","21,37"
2021,1,Chubut,"21,15","-43,3002","-65,1023","20,95","21,37"
